row_index,classification,model_name,prediction
0,"{'prediction': 'PHISHING', 'confidence': 'Medium', 'probabilities': {'Ddos': 0.037551315057161576, 'Phishing': 0.7946556664136878, 'Sqli': 0.16779301852915063}}",PHISHING/SMS SCAM DETECTION,"{'text': 'URGENT! You have won a $1000 gift card. Click here to claim now: www.fakesite.com', 'prediction': '🚨 Malicious Message', 'probabilities': {'safe': np.float64(0.04), 'malicious': np.float64(0.96)}, 'input': {'text': 'URGENT! You have won a $1000 gift card. Click here to claim now: www.fakesite.com'}, 'predicted_label': 'phishing'}"
1,"{'prediction': 'PHISHING', 'confidence': 'High',{'text': "Congratulations! You've been selected for a free iPhone. Reply YES to claim your prize!", 'prediction': '🚨 Malicious Message', 'probabilities': {'safe': np.float64(0.05), 'malicious': np.float64(0.95)}, 'input': {'text': "Congratulations! You've been selected for a free iPhone. Reply YES to claim your prize!"}, 'predicted_label': 'phishing'}, 'Phishing': 0.9402206511845309, 'Sqli': 0.03973168496783054}}",PHISHING/SMS SCAM DETECTION,"{'text': ""Congratulations! You've been selected for a free iPhone. Reply YES to claim your prize!"", 'prediction': '🚨 Malicious Message', 'probabilities': {'safe': np.float64(0.05), 'malicious': np.float64(0.95)}, 'input': {'text': ""Congratulations! You've been selected for a free iPhone. Reply YES to claim your prize!""}, 'predicted_label': 'phishing'}"
2,"{'prediction': 'PHISHING', 'confidence': 'Medium',{'text': 'Your account has been suspended. Click here to verify: www.scamsite.com', 'prediction': '🚨 Malicious Message', 'probabilities': {'safe': np.float64(0.38), 'malicious': np.float64(0.62)}, 'input': {'text': 'Your account has been suspended. Click here to verify: www.scamsite.com'}, 'predicted_label': 'phishing'}, 'Phishing': 0.6153894053216494, 'Sqli': 0.32661099920127873}}",PHISHING/SMS SCAM DETECTION,"{'text': 'Your account has been suspended. Click here to verify: www.scamsite.com', 'prediction': '🚨 Malicious Message', 'probabilities': {'safe': np.float64(0.38), 'malicious': np.float64(0.62)}, 'input': {'text': 'Your account has been suspended. Click here to verify: www.scamsite.com'}, 'predicted_label': 'phishing'}"
3,"{'prediction': 'PHISHING', 'confidence': 'High', 'probabilities': {'Ddos': 0.03593835211211587, 'Phishing': 0.8081314993998255, 'Sqli': 0.15593014848805856}}",PHISHING/SMS SCAM DETECTION,"{'text': 'FINAL NOTICE: Your payment is overdue. Call now to avoid legal action: +1234567890', 'prediction': '⚠️ Potential Malicious Message', 'probabilities': {'safe': np.float64(0.51), 'malicious': np.float64(0.49)}, 'input': {'text': 'FINAL NOTICE: Your payment is overdue. Call now to avoid legal action: +1234567890'}, 'predicted_label': 'phishing'}"
4,"{'prediction': 'PHISHING', 'confidence': 'High', 'probabilities': {'Ddos': 0.03584598284687654, 'Phishing': 0.840604669282703, 'Sqli': 0.12354934787042034}}",PHISHING/SMS SCAM DETECTION,"{'text': 'Get 90% OFF on luxury watches! Limited time offer. Visit: www.fakewatches.com', 'prediction': '✅ Safe Message', 'probabilities': {'safe': np.float64(0.71), 'malicious': np.float64(0.29)}, 'input': {'text': 'Get 90% OFF on luxury watches! Limited time offer. Visit: www.fakewatches.com'}, 'predicted_label': 'phishing'}"
5,"{'prediction': 'PHISHING', 'confidence': 'Medium', 'probabilities': {'Ddos': 0.030479940939861585, 'Phishing': 0.7926725298194187, 'Sqli': 0.17684752924071973}}",PHISHING/SMS SCAM DETECTION,"{'text': 'Hi, can we meet at 3pm tomorrow for the project discussion?', 'prediction': '✅ Safe Message', 'probabilities': {'safe': np.float64(0.96), 'malicious': np.float64(0.04)}, 'input': {'text': 'Hi, can we meet at 3pm tomorrow for the project discussion?'}, 'predicted_label': 'phishing'}"
6,"{'prediction': 'PHISHING', 'confidence': 'High', 'probabilities': {'Ddos': 0.024208499655555063, 'Phishing': 0.9293261751062601, 'Sqli': 0.04646532523818473}}",PHISHING/SMS SCAM DETECTION,"{'text': ""Thanks for your email. I'll review the document and get back to you."", 'prediction': '✅ Safe Message', 'probabilities': {'safe': np.float64(0.87), 'malicious': np.float64(0.13)}, 'input': {'text': ""Thanks for your email. I'll review the document and get back to you.""}, 'predicted_label': 'phishing'}"
7,"{'prediction': 'PHISHING', 'confidence': 'High', 'probabilities': {'Ddos': 0.0379574969233814, 'Phishing': 0.8318706303550018, 'Sqli': 0.13017187272161684}}",PHISHING/SMS SCAM DETECTION,"{'text': ""Don't forget to bring your laptop for the presentation today."", 'prediction': '✅ Safe Message', 'probabilities': {'safe': np.float64(0.94), 'malicious': np.float64(0.06)}, 'input': {'text': ""Don't forget to bring your laptop for the presentation today.""}, 'predicted_label': 'phishing'}"
8,"{'prediction': 'PHISHING', 'confidence': 'Medium', 'probabilities': {'Ddos': 0.0408392798103898, 'Phishing': 0.7943663583704338, 'Sqli': 0.16479436181917637}}",PHISHING/SMS SCAM DETECTION,"{'text': 'The meeting has been rescheduled to next Monday at 2pm.', 'prediction': '✅ Safe Message', 'probabilities': {'safe': np.float64(0.94), 'malicious': np.float64(0.06)}, 'input': {'text': 'The meeting has been rescheduled to next Monday at 2pm.'}, 'predicted_label': 'phishing'}"
9,"{'prediction': 'PHISHING', 'confidence': 'Medium', 'probabilities': {'Ddos': 0.04402100945953672, 'Phishing': 0.766036831251296, 'Sqli': 0.18994215928916733}}",PHISHING/SMS SCAM DETECTION,"{'text': 'Great work on the report! Just a few minor changes needed.', 'prediction': '✅ Safe Message', 'probabilities': {'safe': np.float64(0.94), 'malicious': np.float64(0.06)}, 'input': {'text': 'Great work on the report! Just a few minor changes needed.'}, 'predicted_label': 'phishing'}"
